# ./gen-events -Zp2jets -lhc -pileup -out pippo -nev 1
# Random generator sequence:     19780503
# Stamped by ./gen-events on 17/08/2006 at 20:17:31
#SUBSTART
        0.3515853712       -0.1092071110    -1676.2965175959     1676.2968206118
        0.1466634216       -0.1046232856     -303.1831159247      303.1832015758
      -14.0924756697        2.5182102569       62.5061263924       64.1264277107
       -0.9749853807        1.1917666034        3.3182684903        3.6607771973
       -0.9466630591        2.0674278766        3.6400326786        4.2941526124
        0.8375485052       -0.2459935704       31.7895978995       31.8054111105
        0.1585775315        0.1217446482        3.5105806654        3.5190375085
        0.3262353048        0.7137303833       13.7657492848       13.7888061010
        1.6195907396        0.1416594826       -2.5405391788        3.0563248930
       -0.3238428759        0.3059439955        0.4361247278        0.6388744006
       -0.4845844265       -0.5120481394        0.4294059305        0.8371885102
       -1.7806020841       -0.6091067626        1.4328100421        2.4162244115
       -8.2637745456       -3.0695529034        6.7981652093       11.1431959482
       -0.0015908101       -0.7000227870      114.6747013356      114.6769228774
        0.1413501723       -0.2018082025        7.0598817042        7.0655584269
       -0.3122697664       -0.2779251984       33.0076103530       33.0139476131
        1.9671153122        2.9728949905       10.5786745193       11.1640262292
        0.7288749620        0.8615507415       14.0896990825       14.1355094854
        0.3209507646        0.1150008748      113.9642582459      113.9686305205
       -0.3850462182        0.0191844745      142.0971546663      142.0977461914
       -0.2274655535       -0.1116996565       76.2717077052       76.2779155814
       -0.6612088423       -0.3368270510       56.1746890123       56.1874246234
       -0.7729405036       -0.5253417222       56.6335166887       56.6433780281
       -0.4620498474       -1.2141526376       17.9381817666       17.9919332685
       -0.7152390404       -0.4158213543        1.3559443410        1.6633401034
        0.0522654437       -0.0135021255        0.2708283502        0.3094216608
       -0.1801693573       -0.1327597119       -1.7938024237        1.8130893686
       -0.1126482278       -0.2012968701       -4.0658938715        4.1022364616
        0.1337959299        0.8271012662      -46.2751046095       46.2828994798
       -0.5461487070       -0.8956062132     -201.1160732929      201.1194146934
        0.5014702494       -0.1013143659      -62.6129139513       62.6151595883
       -1.0590161800        0.7751369815      -44.5046726413       44.5242374365
