# ./gen-events -Zp2jets -lhc -pileup -out Pythia-Zp2jets-lhc-pileup-1ev.dat -nev 1 -extformat
# top mass:  175.00
# W   mass:   80.45
# Random generator sequence:     19780503
# Stamped by ./gen-events on 23/09/2013 at 15:51:31
#SUBSTART
        0.3515853712       -0.1092071110    -1676.2965175959     1676.2968206118     2212   1
        0.1466634216       -0.1046232856     -303.1831159247      303.1832015758     -211  -1
      -14.0924756696        2.5182102569       62.5061263925       64.1264277108     -321  -1
       -0.9749853807        1.1917666034        3.3182684903        3.6607771973      211   1
       -0.9466630591        2.0674278766        3.6400326786        4.2941526124     -211  -1
        0.8375485052       -0.2459935704       31.7895978997       31.8054111107     -321  -1
        0.1585775315        0.1217446482        3.5105806654        3.5190375084      211   1
        0.3262353048        0.7137303833       13.7657492850       13.7888061012     -211  -1
        1.6195907396        0.1416594826       -2.5405391788        3.0563248930      321   1
       -0.3238428759        0.3059439956        0.4361247278        0.6388744006     -211  -1
       -0.4845844265       -0.5120481394        0.4294059305        0.8371885102      211   1
       -1.7806020841       -0.6091067626        1.4328100421        2.4162244115     -321  -1
       -8.2637745456       -3.0695529032        6.7981652094       11.1431959482      321   1
       -0.0015908101       -0.7000227870      114.6747013376      114.6769228793     -211  -1
        0.1413501723       -0.2018082025        7.0598817041        7.0655584268     -211  -1
       -0.3122697665       -0.2779251984       33.0076103535       33.0139476136     -321  -1
        1.9671153122        2.9728949905       10.5786745193       11.1640262292      211   1
        0.7288749620        0.8615507415       14.0896990829       14.1355094857     -211  -1
        0.3209507646        0.1150008748      113.9642582480      113.9686305226     2212   1
       -0.3850462183        0.0191844744      142.0971546348      142.0977461599     -211  -1
       -0.2274655537       -0.1116996565       76.2717076897       76.2779155659    -2112   0
       -0.6612088420       -0.3368270509       56.1746889995       56.1874246106     2212   1
       -0.7729405037       -0.5253417223       56.6335166837       56.6433780232     -321  -1
       -0.4620498474       -1.2141526377       17.9381817658       17.9919332678      321   1
       -0.7152390400       -0.4158213537        1.3559443401        1.6633401023      321   1
        0.0522654437       -0.0135021255        0.2708283501        0.3094216608     -211  -1
       -0.1801693532       -0.1327597065       -1.7938024069        1.8130893512      211   1
       -0.1126482277       -0.2012968696       -4.0658939008        4.1022364907     -321  -1
        0.1337959287        0.8271012585      -46.2751044340       46.2828993043      211   1
       -0.5461487054       -0.8956062031     -201.1160704145      201.1194118150      321   1
        0.5014702498       -0.1013143626      -62.6129129947       62.6151586317     -211  -1
       -1.0590161824        0.7751369802      -44.5046727259       44.5242375211      211   1
        0.4931293245       -0.7321686965      -33.4202402541       33.4321878727      211   1
        0.0163810190       -0.3589771677       -8.8094301053        8.8178609373     -211  -1
       -0.0897896031       -0.6848213273      -17.6441442822       17.6582091294      211   1
       -0.3170064278        0.7967655694      -46.4826789714       46.4932082542     -321  -1
        0.1231385922        0.2628590975    -1179.8555699842     1179.8556139463     -211  -1
       -0.0871648801        0.0606849513     -656.8540574883      656.8547362011     2212   1
       -7.4935013978        1.8611668033       34.0738740211       34.9380147641      211   1
       -7.0359080438        1.9282667646       36.0222133791       36.7569006702      130   0
       -8.1212724014        1.9347081221       37.0229806470       37.9558550471      130   0
       -2.7840470665        0.7233283168       12.9961413759       13.3199657663      130   0
       -3.1260155223        0.7674059159       12.9838941368       13.3861894231      130   0
       -7.9368148087        1.8229589371       35.0705933501       36.0039193187      211   1
       -0.2132419868        0.1799204923        1.1174211666        1.1601523077     -211  -1
       -1.2038365106        0.6276815280        3.1003747744        3.3846019244       22   0
       -2.0100646377        0.8841011644        5.2463076165        5.6873313886       22   0
       -0.3014917286        0.1240077983        1.1331147177        1.1790776734       22   0
       -0.6990869536        0.4080319750        2.2251131888        2.3677713919       22   0
       -0.1534370861        0.4703968732        0.7983636180        0.9495685384      211   1
       -1.1706251446        0.9523349264        4.3474023619        4.6039865468     -211  -1
       -0.3148410789        0.3982898030        0.4798234732        0.6985629804       22   0
       -0.1843570882        0.4109866920        0.3444271284        0.5670340764       22   0
       -0.7636277064        0.6335076414        1.7899515238        2.2519274962    -2112   0
       -0.1423362377        0.4426232076        1.0664611793        1.1717483264      211   1
